29387926640	2026-07-15T04:01:05Z	scheduled checks 	trunk	schedule	Run nightly checks _ Core e2e tests - WP L-1 - parallel [WP 6.9.4] 2_2 - @woocommerce_plugin-woocommerce [e2e]	LOST	wordpress	2	wordpress-org	1
29391518200	2026-07-15T05:28:01Z	CI	trunk	push	Blocks e2e tests 2_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	dockerhub	1	-	1
29391518200	2026-07-15T05:28:01Z	CI	trunk	push	Blocks e2e tests 4_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	dockerhub	1	-	1
29391518200	2026-07-15T05:28:01Z	CI	trunk	push	Blocks e2e tests 8_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	dockerhub	1	-	1
29392833707	2026-07-15T05:57:40Z	CI	trunk	push	Blocks e2e tests 7_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	packagist	1	-	1
29400503478	2026-07-15T08:21:32Z	CI	fix/66613-physical-order-shipping-summary	pull_request	Blocks e2e tests 3_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	packagist	1	-	1
29403906291	2026-07-15T09:16:48Z	CI	fix/local-pickup-sticky-after-auto-default	pull_request	Blocks e2e tests 7_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	dockerhub	1	-	1
29405787580	2026-07-15T09:47:14Z	CI	codex/add-tax-rate-modal-list-search	pull_request	Blocks e2e tests 4_10 - @woocommerce_plugin-woocommerce [e2e]	LOST	unknown	2	dockerhub	1
29407913005	2026-07-15T10:22:49Z	CI	trunk	push	Core e2e tests - serial 1_2 - @woocommerce_plugin-woocommerce [e2e]	SAVED	packagist	1	-	1
29408578844	2026-07-15T10:34:06Z	CI	worktree-assess-35321-import-sale-dates	pull_request	PHP 8.5 WP latest [WP latest] - @woocommerce_plugin-woocommerce [unitphp]	SAVED	packagist	1	-	1
29409431713	2026-07-15T10:48:54Z	CI	trunk	push	Blocks e2e tests 3_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	packagist	1	-	1
29409781844	2026-07-15T10:54:53Z	CI	perf/e2e-duration-aware-blocks-sharding	pull_request	Blocks e2e tests - WP latest-1 [WP 6.9.4] 5_10 - @woocommerce_plugin-woocommerce [e2e]	SAVED	packagist	1	-	1
29409781844	2026-07-15T10:54:53Z	CI	perf/e2e-duration-aware-blocks-sharding	pull_request	Core e2e tests - (HPOSoff) - @woocommerce_plugin-woocommerce [e2e]	SAVED	packagist	1	-	1
29410154558	2026-07-15T11:01:11Z	CI	update/settings-ui-top-level-page-header	pull_request	Core API tests - @woocommerce_plugin-woocommerce [api]	SAVED	packagist	1	-	1
29410893284	2026-07-15T11:13:43Z	CI	fix/66272-widgets-admin-notice-fatal	pull_request	PHP 7.4 WP latest - 1 [WP 6.9.4] - @woocommerce_plugin-woocommerce [unitphp]	SAVED	packagist	1	-	1
